talk_id,author,institution,location
29,Cade Coldren,Plant and Soil Science,"Lubbock, TX, USA"
29,Clint Boal,U.S. Geological Survey Texas Cooperative Fish and Wildlife Research Unit Texas Tech University,"Lubbock, TX, USA"
30,Tara Rodkey,Texas A&M University Kingsville,"Kingsville, TX, USA"
30,Richard Lanctot,U.S. Fish and Wildlife Service,"Anchorage, AK, USA"
30,Lee Tibbitts,U.S. Geological Service,"Anchorage, AK, USA"
30,Bart Ballard,Texas A&M University-Kingsville,"Kingsville, TX, USA"
31,Benjamin Hoose,Texas A&M University,"College Station, TX, USA"
31,Roel Lopez,NA,"San Antonio, TX, USA"
31,Brian Pierce,Texas A&M Natural Resources Institute,"College Station, TX, USA"
32,Lily Evans,Texas Tech University,"LUBBOCK, TX, USA"
32,Michael Whitson,Texas Tech University,"Lubbock, TX, USA"
32,Carlos Villalobos,Texas Tech University,"Lubbock, TX, USA"
32,Darren Hudson,Texas Tech University,"Lubbock, TX, USA"
32,Christian Hagen,Oregon State University,"Corvallis, USA"
32,Randy Howard,Bureau of Land Management,"Roswell, NM, USA"
32,Blake Grisham,Texas Tech University,"Lubbock, TX, USA"
33,Alejandra Martinez,Stephen F. Austin State University,"Nacogdoches, TX, USA"
33,Jessica Glasscock,Stephen F. Austin State University,"Nacogdoches, TX, USA"
33,Reuber Lana Antoniazzi Jr,Stephen F. Austin State University,"Nacogdoches, TX, USA"
33,Brian Oswald,Stephen F. Austin State University,"Nacogdoches, TX, USA"
33,Christopher Schalk,"Southern Research Station, USDA Forest Service","Nacogdoches, TX, USA"
33,Selma Glasscock,Welder Wildlife Foundation,"Sonora, TX, USA"
34,Amanda Hackney,Black Cat GIS and Biological,"Pearland, TX, USA"
35,Erin O'Connell,Borderlands Research Institute,"Alpine, TX, USA"
35,Justin French,Borderlands Research Institute,"Alpine, TX, USA"
35,Lalo Gonzalez,Borderlands Research Institute,"Alpine, TX, USA"
35,Shawn Gray,Texas Parks and Wildlife,"Alpine, TX, USA"
35,Louis Harveson,Sul Ross State University,"Alpine, TX, USA"
36,Marlin Dart,Texas A&M University - Kingsville,"Kingsville, TX, USA"
36,Evan Tanner,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
36,Timothy Fulbright,Texas A&M University - Kingsville,"Kingsville, TX, USA"
36,Anthony Opatz,New Mexico Department of Game and Fish,"Santa Fe, NM, USA"
36,Levi Heffelfinger,Caesar Kleberg Wildlife Research Institute,"Lubbock, TX, USA"
36,David Hewitt,Caesar Kleberg Wildlife Research Institute / Texas A&M University Kingsville,"Kingsville, TX, USA"
36,Randy DeYoung,Caesar Kleberg Wildlife Research Institute,"Kingsville, TX, USA"
36,Shawn Gray,Texas Parks and Wildlife,"Alpine, TX, USA"
36,Michael Cherry,CKWRI,"Kingsville, TX, USA"
37,Olivia Gray,Borderlands Research Institute/TPWD,"Fort Davis, TX, USA"
37,Justin French,Borderlands Research Institute,"Alpine, TX, USA"
37,Lalo Gonzalez,Borderlands Research Institute,"Alpine, TX, USA"
37,Louis Harveson,Sul Ross State University,"Alpine, TX, USA"
37,Froylan Hernandez,Texas Parks and Wildlife Department,"Alpine, TX, USA"
37,Shawn Gray,Texas Parks and Wildlife,"Alpine, TX, USA"
38,Leanna Morin,"Borderlands Research Institute, Sul Ross State University","Hondo, TX, USA"
38,Lalo Gonzalez,Borderlands Research Institute,"Alpine, TX, USA"
38,Justin French,Borderlands Research Institute,"Alpine, TX, USA"
38,Louis Harveson,Sul Ross State University,"Alpine, TX, USA"
38,Shawn Gray,Texas Parks and Wildlife,"Alpine, TX, USA"
38,Ty Goodwin,Sul Ross State University,"Alpine, TX, USA"
39,Erin O'Connell,Borderlands Research Institute,"Alpine, TX, USA"
39,Justin French,Borderlands Research Institute,"Alpine, TX, USA"
39,Lalo Gonzalez,Borderlands Research Institute,"Alpine, TX, USA"
39,Louis Harveson,Sul Ross State University,"Alpine, TX, USA"
39,Shawn Gray,Texas Parks and Wildlife,"Alpine, TX, USA"
40,Ty Cosper,Tarleton State University,"Killeen, TX, USA"
40,Heather Mathewson,Tarleton State University,"Stephenville, TX, USA"
40,Adam Mitchell,Tarleton State University,"Stephenville, TX, USA"
40,Molly Koeck,Oklahoma State University,"Stillwater, OK, USA"
40,Donald Beard,Texas Parks and Wildlife,"Quitaque, TX, USA"
41,Mycha Van Allen,Texas A&M University,"Bryan, TX, USA"
42,Amie Treuer-Kuehn,TPWD,"Austin, TX, USA"
42,Wendy Anderson,Texas Parks and Wildlife Department,"Austin, TX, USA"
42,Duane German,TPWD,"Austin, TX, USA"
43,Anna Matthews,American Bird Conservancy/Oaks and Prairies Joint Venture,"San Marcos, TX, USA"
43,Rebekah Rylander,American Bird Conservancy/Rio Grande Joint Venture,"Austin, TX, USA"
43,Daniel Bunting,"Science Applications, U.S. Fish and Wildlife Service, Southwest Region","Austin, TX, USA"
43,Michael C. Duniway,"Southwest Biological Science Center, U.S. Geological Survey","Moab, UT, USA"
43,James Giocomo,American Bird Conservancy,"Durand, IL, USA"
43,Anna Knight,"Southwest Biological Science Center, U.S. Geological Survey","Moab, UT, USA"
43,Adriana Leiva,"Gulf Restoration Program, U.S. Fish and Wildlife Service","Corpus Christi, TX, USA"
43,Robert Perez,OPJV/ABC,"La Vernia, TX, USA"
43,Kourtney Stonehouse,"Partners for Fish and Wildlife Program, U.S. Fish and Wildlife Service","Falls Church, VA, USA"
43,Derek Wiley,Texas Parks and Wildlife Department/Oaks and Prairies Joint Venture,"Throckmorton, TX, USA"
43,Don Wilhelm,"Partners for Fish and Wildlife Program, U.S. Fish and Wildlife Service","Arlington, TX, USA"
44,Adam Mitchell,Tarleton State University,"Stephenville, TX, USA"
44,Lark Holland Trainer,Tarleton State Univesity,"Garland, TX, USA"
45,Josef Leachman,Tarleton State University,"Stephenville, TX, USA"
45,Darrel Murray,Tarleton State University,"Stephenville, TX, USA"
45,Adam Mitchell,Tarleton State University,"Stephenville, TX, USA"
45,Heather Mathewson,Tarleton State University,"Stephenville, TX, USA"
46,James Emerson,Texas State University,"Seguin, USA"
46,Dominic DeSantis,Georgia College & State University,"Milledgeville, GA, USA"
46,Vicente Mata-Silva,University of Texas at El Paso,"El Paso, TX, USA"
46,Amy Wagler,University of Texas at El Paso,"El Paso, TX, USA"
46,Jerry Johnson,University of Texas at El Paso,"El Paso, TX, USA"
47,Wade Ryberg,Texas A&M University,"College Station, TX, USA"
47,Danielle Walkup,Texas A&M University,"Bryan, TX, USA"
47,Michelle Lawing,Texas A&M University,"College Station, TX, USA"
47,Corey Fielder,NA,"College Station, TX, USA"
47,Brandon Bowers,NA,"College Station, TX, USA"
47,Toby Hibbitts,NA,"College Station, TX, USA"
48,Christopher Schalk,"Southern Research Station, USDA Forest Service","Nacogdoches, TX, USA"
48,David Stewart,U.S. Fish and Wildlife Service,"Albuquerque, NM, USA"
48,Josh Pierce,"Southern Research Station, USDA Forest Service","Nacogdoches, TX, USA"
48,Emlyn Smith,USDA Forest Service,"Bentley, LA, USA"
49,Wendy Anderson,Texas Parks and Wildlife Department,"Austin, TX, USA"
49,Amie Treuer-Kuehn,TPWD,"Austin, TX, USA"
49,Duane German,TPWD,"Austin, TX, USA"
50,Connor Adams,Stephen F. Austin State University,"Nacogdoches, TX, USA"
50,Jessica Glasscock,Stephen F. Austin State University,"Nacogdoches, TX, USA"
50,Christopher Schalk,"Southern Research Station, USDA Forest Service","Nacogdoches, TX, USA"
50,Paul Crump,Texas Parks and Wildlife Department,"Austin, TX, USA"
51,Evan Rangel,Texas A&M University Kingsville,"Kingsville, TX, USA"
51,Jacob Reyes,CKWRI / TAMUK,"Kingsville, TX, USA"
51,Scott Henke,Texas A&M University-Kingsville,"Kingsville, TX, USA"
51,Cord Eversole,Texas A&M International University,"Laredo, TX, USA"
52,Jennifer Smith,"Dep. of Environmental Sciences & Ecology, UTSA","San Antonio, TX, USA"
