Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
1372828,Bunker Hill Village,Populated Place,Harris County,Texas,Hedwig Village,24,29.7674508,-95.5299427,None,11/30/1979,11300,P1,null,null,48201,48
1378072,Bunyan,Populated Place,Erath County,Texas,Bunyan,468,32.1690293,-98.3650453,None,11/30/1979,11320,U6,null,null,48143,48
2010179,Burbridge Acres Colonia,Populated Place,El Paso County,Texas,Clint,1109,31.6031699,-106.242479,None,10/20/2003,null,null,null,null,48141,48
1379479,Burchard Place,Populated Place,Reeves County,Texas,Halamicek Ranch,956,31.5042971,-103.8565774,None,11/30/1979,null,null,null,null,48389,48
1378073,Burford,Populated Place,Marion County,Texas,Kellyville,64,32.7859723,-94.3832497,None,11/30/1979,11344,U6,null,null,48315,48
1353321,Burkburnett,Populated Place,Wichita County,Texas,Burkburnett,323,34.0978711,-98.5706134,None,11/30/1979,11368,P1,null,null,48485,48
1381555,Burke,Populated Place,Angelina County,Texas,Diboll,83,31.2318536,-94.7685411,None,11/30/1979,11380,P1,null,null,48005,48
2471730,Burke Meadow,Populated Place,Harris County,Texas,Pasadena,11,29.6376,-95.1881,None,7/16/2008,null,null,null,null,48201,48
1331677,Burkett,Populated Place,Coleman County,Texas,Burkett,475,31.9959759,-99.225618,None,11/30/1979,11392,U6,null,null,48083,48
1372835,Burkeville,Populated Place,Newton County,Texas,Shankleville,64,30.9999178,-93.6679539,None,11/30/1979,11404,U6,null,null,48351,48
1379480,Burleigh,Populated Place,Austin County,Texas,Burleigh,58,29.9196707,-96.1502386,None,11/30/1979,11416,U6,null,null,48015,48
1331683,Burleson,Populated Place,Johnson County,Texas,Burleson,217,32.5420821,-97.3208492,None,11/30/1979,11428,P1,null,null,48251,48
1353333,Burlington,Populated Place,Milam County,Texas,Rosebud,131,31.0151845,-96.996655,None,11/30/1979,11440,U6,null,null,48331,48
1379481,Burnell,Populated Place,Karnes County,Texas,Tulsita,104,28.6808195,-97.8327784,None,11/30/1979,11452,U6,null,null,48255,48
1353341,Burnet,Populated Place,Burnet County,Texas,Burnet,391,30.7582376,-98.2283585,None,11/30/1979,11464,P1,null,null,48053,48
1379482,Burnett,Populated Place,Fannin County,Texas,Dodd City,202,33.5556605,-96.0291384,None,11/30/1979,null,null,null,null,48147,48
1353352,Burns,Populated Place,Bowie County,Texas,Redbank,101,33.5181764,-94.2890871,None,11/30/1979,11476,U6,null,null,48037,48
1379483,Burns City,Populated Place,Cooke County,Texas,Woodbine,208,33.5126113,-97.0375082,1/1/1964,11/30/1979,null,null,null,null,48097,48
1379484,Burr,Populated Place,Wharton County,Texas,Wharton,29,29.3080254,-96.0074564,None,11/30/1979,11500,U6,null,null,48481,48
1381557,Burrantown,Populated Place,Houston County,Texas,Ratcliff,110,31.4926797,-95.2049406,None,11/30/1979,null,null,null,null,48225,48
1379485,Burris,Populated Place,Lubbock County,Texas,Lubbock East,961,33.5248086,-101.7796082,None,11/30/1979,11512,U4,null,null,48303,48
2034666,Burrow,Populated Place,Hunt County,Texas,Josephine,178,33.0073413,-96.2933136,None,2/20/2004,null,null,null,null,48231,48
1331727,Burton,Populated Place,Washington County,Texas,Burton,134,30.1821602,-96.5955277,None,11/30/1979,11536,P1,null,null,48477,48
1378074,Burton,Populated Place,Johnson County,Texas,Cleburne West,234,32.2934786,-97.444463,None,11/30/1979,null,null,null,null,48251,48
1378075,Busby,Populated Place,Fisher County,Texas,Busby,638,32.6228909,-100.4209401,None,11/30/1979,11548,U6,null,null,48151,48
1353409,Bushland,Populated Place,Potter County,Texas,Bushland,1166,35.1919978,-102.0646392,None,11/30/1979,11572,U6,null,null,48375,48
2010667,Bushy Creek Colonia,Populated Place,Zavala County,Texas,Crystal City,175,28.6991455,-99.8314439,None,10/20/2003,null,null,null,null,48507,48
1331742,Bustamante,Populated Place,Zapata County,Texas,Escobas,136,27.0008718,-99.1119785,None,11/30/1979,11584,U6,null,null,48505,48
2009854,Bustamante Colonia,Populated Place,Hidalgo County,Texas,Progreso,19,26.1042434,-97.8791655,None,10/20/2003,null,null,null,null,48215,48
1331743,Butler,Populated Place,Bastrop County,Texas,Elgin East,143,30.3207655,-97.2966599,None,11/30/1979,11608,U6,null,null,48021,48
1379486,Butler,Populated Place,Freestone County,Texas,Butler,107,31.6637826,-95.9235734,None,11/30/1979,11620,U6,null,null,48161,48
1852689,Butterfield,Populated Place,El Paso County,Texas,Helms West Well,1286,31.8348312,-106.0958108,None,1/18/2000,11626,U5,null,null,48141,48
2010180,Butterfield City Number 1 Colonia,Populated Place,El Paso County,Texas,Helms West Well,1283,31.8320535,-106.095533,None,10/20/2003,null,null,null,null,48141,48
2010181,Butterfield City Number 2 Colonia,Populated Place,El Paso County,Texas,Helms West Well,1295,31.8381645,-106.0974775,None,10/20/2003,null,null,null,null,48141,48
